"","id","unique_id","date","species","rlc_time","treatment","temp","nitrate","salinity","plant_id","n_g_m3_2d","p_g_m3_2d","treat_letter","run_combo","rlc_end_time","rlc_day","rlc_order","f0","fm","f","fm_prime","fv_fm","delta_npq","pmax","retr_max","retr_max_ypoint1","npq_max","alpha_est","alpha_se","alpha_t","alpha_pvalue","ek_est","ek_se","ek_t","ek_pvalue","lunar_phase","illumination"
"1211","ul1-2","2/19/22_ul1-2",2022-02-19,"u",09:19:39,0,20,0.5,35,50,0.06,0.001,"a",6,09:23:11,9,4,206,656,206,656,0.686,0,31.18,32.87,32.87,0.37,1.344,NA,1.72,0.147,23.2,NA,1.53,0.186,"Full",0.945636474819377
"1212","ul1-3","2/19/22_ul1-3",2022-02-19,"u",09:24:07,0,20,0.5,35,51,0.06,0.001,"a",6,09:27:08,9,4,186,659,186,659,0.718,0,34.87,36.1,36.1,0.345,1.191,NA,2.71,0.053,29.3,NA,2.26,0.087,"Full",0.945636474819377
"1213","ul1-4","2/19/22_ul1-4",2022-02-19,"u",09:28:42,0,20,0.5,35,52,0.06,0.001,"a",6,09:31:44,9,4,136,417,136,417,0.674,0,23.25,24.75,24.75,0.287,2.998,NA,0.02,0.988,7.8,NA,0.02,0.988,"Full",0.945636474819377
"1214","ul2-1","2/19/22_ul2-1",2022-02-19,"u",09:33:21,0,20,0.5,35,53,0.06,0.001,"a",6,09:37:24,9,5,244,1061,244,1061,0.77,0,68.28,66.97,66.97,0.411,0.671,NA,20.85,0,101.8,NA,10.55,0,"Full",0.945636474819377
"1215","ul2-2","2/19/22_ul2-2",2022-02-19,"u",09:37:59,0,20,0.5,35,54,0.06,0.001,"a",6,09:41:01,9,5,222,611,222,611,0.637,0,26.87,28.5,28.5,0.227,1.143,NA,1.72,0.16,23.5,NA,1.53,0.2,"Full",0.945636474819377
"1216","ul2-3","2/19/22_ul2-3",2022-02-19,"u",09:42:35,0,20,0.5,35,55,0.06,0.001,"a",6,09:46:37,9,5,175,667,175,667,0.738,0,43.38,45.98,45.98,0.659,0.933,NA,5.82,0.001,46.5,NA,4.09,0.006,"Full",0.945636474819377
"1217","ul2-4","2/19/22_ul2-4",2022-02-19,"u",09:47:10,0,20,0.5,35,56,0.06,0.001,"a",6,09:51:12,9,5,203,612,203,612,0.668,0,28.53,30.4,30.4,0.553,0.857,NA,3.12,0.02,33.3,NA,2.5,0.047,"Full",0.945636474819377
"1218","ul3-1","2/19/22_ul3-1",2022-02-19,"u",09:51:44,0,27,0.5,35,57,0.06,0.001,"a",6,09:54:46,9,6,200,762,200,762,0.738,0,26.64,28.26,28.26,0.403,2.147,NA,0.24,0.825,12.4,NA,0.23,0.827,"Full",0.945636474819377
"1219","ul3-2","2/19/22_ul3-2",2022-02-19,"u",09:56:29,0,27,0.5,35,58,0.06,0.001,"a",6,10:00:31,9,6,268,1120,268,1120,0.761,0,41.74,43.32,43.32,0.395,0.873,NA,7.37,0,47.8,NA,5.12,0.002,"Full",0.945636474819377
"1220","ul3-3","2/19/22_ul3-3",2022-02-19,"u",10:00:50,0,27,0.5,35,59,0.06,0.001,"a",6,10:03:52,9,6,207,807,207,807,0.743,0,26.27,28.17,28.17,0.375,4.98,NA,0,1,5.3,NA,0,1,"Full",0.945636474819377
"1221","ul3-4","2/19/22_ul3-4",2022-02-19,"u",10:05:17,0,27,0.5,35,60,0.06,0.001,"a",6,10:08:19,9,6,206,836,206,836,0.754,0,35.58,36.67,36.67,0.451,1.131,NA,3.77,0.02,31.5,NA,3.07,0.037,"Full",0.945636474819377
"1222","ul1-1","2/21/22_ul1-1",2022-02-21,"u",08:26:25,0,20,0.5,35,73,0.06,0.001,"a",7,08:30:27,1,1,197,451,197,451,0.563,0,34.99,36.29,36.29,1.301,0.478,NA,6.76,0.001,73.3,NA,3.92,0.008,"Waning",0.807409206695587
"1223","ul1-2","2/21/22_ul1-2",2022-02-21,"u",08:31:01,0,20,0.5,35,74,0.06,0.001,"a",7,08:35:04,1,1,159,377,159,377,0.578,0,32.15,33.63,33.63,1.342,0.432,NA,8.72,0,74.4,NA,5.02,0.002,"Waning",0.807409206695587
"1224","ul1-3","2/21/22_ul1-3",2022-02-21,"u",08:35:51,0,20,0.5,35,75,0.06,0.001,"a",7,08:39:53,1,1,123,612,123,612,0.799,0,75.73,73.92,73.92,0.636,0.701,NA,25.02,0,108.1,NA,12.36,0,"Waning",0.807409206695587
"1225","ul1-4","2/21/22_ul1-4",2022-02-21,"u",08:40:35,0,20,0.5,35,76,0.06,0.001,"a",7,08:44:37,1,1,144,656,144,656,0.78,0,50.28,51.87,51.87,0.644,0.793,NA,24.55,0,63.4,NA,15.14,0,"Waning",0.807409206695587
"1226","ul2-1","2/21/22_ul2-1",2022-02-21,"u",08:45:24,0,20,0.5,35,77,0.06,0.001,"a",7,08:49:27,1,2,166,411,166,411,0.596,0,36.25,36.77,36.77,1.521,0.462,NA,10.87,0,78.5,NA,6.12,0.001,"Waning",0.807409206695587
"1227","ul2-2","2/21/22_ul2-2",2022-02-21,"u",08:50:01,0,20,0.5,35,78,0.06,0.001,"a",7,08:54:03,1,2,155,437,155,437,0.645,0,36.31,38.57,38.57,1.276,0.629,NA,7.73,0,57.7,NA,4.96,0.003,"Waning",0.807409206695587
"1228","ul2-3","2/21/22_ul2-3",2022-02-21,"u",08:54:35,0,20,0.5,35,79,0.06,0.001,"a",7,08:58:37,1,2,198,547,198,547,0.638,0,32.81,33.82,33.82,1.721,0.645,NA,8.22,0,50.9,NA,5.56,0.001,"Waning",0.807409206695587
"1229","ul2-4","2/21/22_ul2-4",2022-02-21,"u",08:59:14,0,20,0.5,35,80,0.06,0.001,"a",7,09:03:16,1,2,139,362,139,362,0.616,0,34.01,35.72,35.72,1.022,0.703,NA,5.97,0.001,48.3,NA,4.13,0.006,"Waning",0.807409206695587
"1230","ul3-1","2/21/22_ul3-1",2022-02-21,"u",09:03:52,0,27,0.5,35,81,0.06,0.001,"a",7,09:07:55,1,3,175,682,175,682,0.743,0,62.22,64.41,64.41,0.927,0.723,NA,16.21,0,86,NA,8.79,0,"Waning",0.807409206695587
"1231","ul3-2","2/21/22_ul3-2",2022-02-21,"u",09:08:24,0,27,0.5,35,82,0.06,0.001,"a",7,09:12:26,1,3,160,718,160,718,0.777,0,68.65,68.4,68.4,0.654,0.718,NA,20.23,0,95.6,NA,10.51,0,"Waning",0.807409206695587
"1232","ul3-3","2/21/22_ul3-3",2022-02-21,"u",09:12:44,0,27,0.5,35,83,0.06,0.001,"a",7,09:16:47,1,3,165,363,165,363,0.545,0,58.03,68.88,52.92,2.05,0.379,NA,29.08,0,153.2,NA,12.53,0,"Waning",0.807409206695587
"1233","ul3-4","2/21/22_ul3-4",2022-02-21,"u",09:17:35,0,27,0.5,35,84,0.06,0.001,"a",7,09:21:38,1,3,172,640,172,640,0.731,0,74.96,72.66,72.66,0.616,0.644,NA,27.96,0,116.5,NA,13.41,0,"Waning",0.807409206695587
"1234","ul4-1","2/21/22_ul4-1",2022-02-21,"u",09:22:25,0,27,0.5,35,85,0.06,0.001,"a",7,09:26:27,1,4,191,775,191,775,0.754,0,56.52,56.72,56.72,0.685,0.746,NA,15.48,0,75.8,NA,8.85,0,"Waning",0.807409206695587
"1235","ul4-2","2/21/22_ul4-2",2022-02-21,"u",09:27:12,0,27,0.5,35,86,0.06,0.001,"a",7,09:31:15,1,4,154,456,154,456,0.662,0,40.37,42.75,42.75,0.983,0.76,NA,6.66,0.001,53.1,NA,4.43,0.004,"Waning",0.807409206695587
"1236","ul4-3","2/21/22_ul4-3",2022-02-21,"u",09:31:41,0,27,0.5,35,87,0.06,0.001,"a",7,09:35:44,1,4,159,599,159,599,0.735,0,52.64,53.01,53.01,0.926,0.678,NA,12.78,0,77.6,NA,7.24,0,"Waning",0.807409206695587
"1237","ul4-4","2/21/22_ul4-4",2022-02-21,"u",09:36:25,0,27,0.5,35,88,0.06,0.001,"a",7,09:40:27,1,4,150,417,150,417,0.64,0,45.55,48.17,48.17,1.543,0.522,NA,15.24,0,87.3,NA,8.21,0,"Waning",0.807409206695587
"1238","ul5-1","2/21/22_ul5-1",2022-02-21,"u",09:40:55,0,30,0.5,35,89,0.06,0.001,"a",7,09:44:57,1,5,161,612,161,612,0.737,0,50.69,52.06,52.06,0.8,0.806,NA,9.79,0,62.9,NA,6.06,0.001,"Waning",0.807409206695587
"1239","ul5-2","2/21/22_ul5-2",2022-02-21,"u",09:46:00,0,30,0.5,35,90,0.06,0.001,"a",7,09:50:03,1,5,151,681,151,681,0.778,0,37.71,40.12,40.12,0.792,1.212,NA,2.86,0.029,31.1,NA,2.34,0.057,"Waning",0.807409206695587
"1240","ul5-3","2/21/22_ul5-3",2022-02-21,"u",09:51:17,0,30,0.5,35,91,0.06,0.001,"a",7,09:55:19,1,5,221,900,221,900,0.754,0,59.11,60.13,60.13,0.563,0.762,NA,13.38,0,77.6,NA,7.58,0,"Waning",0.807409206695587
"1241","ul5-4","2/21/22_ul5-4",2022-02-21,"u",09:55:55,0,30,0.5,35,92,0.06,0.001,"a",7,09:59:57,1,5,189,376,189,376,0.497,0,29.9,31.16,29.64,1.442,0.4,NA,11.53,0,74.8,NA,6.63,0.001,"Waning",0.807409206695587
"1242","ul6-1","2/21/22_ul6-1",2022-02-21,"u",10:00:33,0,30,0.5,35,93,0.06,0.001,"a",7,10:04:35,1,6,133,464,133,464,0.713,0,42.09,42.37,42.37,1.22,0.681,NA,8.41,0,61.8,NA,5.24,0.002,"Waning",0.807409206695587
"1243","ul6-2","2/21/22_ul6-2",2022-02-21,"u",10:04:58,0,30,0.5,35,94,0.06,0.001,"a",7,10:09:00,1,6,197,385,197,385,0.488,0,33.03,33.06,33.06,1.127,0.354,NA,16.49,0,93.2,NA,8.65,0,"Waning",0.807409206695587
"1244","ul6-3","2/21/22_ul6-3",2022-02-21,"u",10:09:24,0,30,0.5,35,95,0.06,0.001,"a",7,10:13:26,1,6,148,422,148,422,0.649,0,33.68,35.15,35.15,0.751,0.608,NA,6.45,0.001,55.4,NA,4.21,0.006,"Waning",0.807409206695587
"1245","ul6-4","2/21/22_ul6-4",2022-02-21,"u",10:14:04,0,30,0.5,35,96,0.06,0.001,"a",7,10:18:06,1,6,185,662,185,662,0.721,0,36.91,38.95,38.95,0.93,0.799,NA,5.57,0.001,46.2,NA,3.92,0.008,"Waning",0.807409206695587
"1246","ul2-1","2/25/22_ul2-1",2022-02-25,"u",08:02:51,0,20,0.5,35,77,0.06,0.001,"a",7,08:05:52,5,1,182,627,182,627,0.71,0,30.24,32.49,32.49,0.475,1.91,NA,0.52,0.631,15.8,NA,0.5,0.644,"Waning",0.366211667295294
"1247","ul2-2","2/25/22_ul2-2",2022-02-25,"u",08:07:30,0,20,0.5,35,78,0.06,0.001,"a",7,08:11:33,5,1,169,520,169,520,0.675,0,30.34,31.5,31.5,0.94,0.857,NA,4.98,0.003,35.4,NA,3.89,0.008,"Waning",0.366211667295294
"1248","ul2-3","2/25/22_ul2-3",2022-02-25,"u",08:11:51,0,20,0.5,35,79,0.06,0.001,"a",7,08:14:52,5,1,164,553,164,553,0.703,0,26.83,28.88,28.88,0.656,1.228,NA,1.68,0.168,21.9,NA,1.52,0.202,"Waning",0.366211667295294
"1249","ul2-4","2/25/22_ul2-4",2022-02-25,"u",08:16:37,0,20,0.5,35,80,0.06,0.001,"a",7,08:20:40,5,1,170,538,170,538,0.684,0,27.69,30.21,30.21,0.681,0.866,NA,2.94,0.026,32,NA,2.38,0.055,"Waning",0.366211667295294
"1250","ul3-1","2/25/22_ul3-1",2022-02-25,"u",08:21:11,0,27,0.5,35,81,0.06,0.001,"a",7,08:25:13,5,2,218,835,218,835,0.739,0,39.44,42.18,42.18,0.427,0.867,NA,6.29,0.001,45.5,NA,4.46,0.004,"Waning",0.366211667295294
"1251","ul3-3","2/25/22_ul3-3",2022-02-25,"u",08:30:31,0,27,0.5,35,83,0.06,0.001,"a",7,08:34:33,5,2,160,431,160,431,0.629,0,33.73,36.2,36.2,0.858,0.56,NA,11.54,0,60.2,NA,7.27,0,"Waning",0.366211667295294
"1252","ul3-4","2/25/22_ul3-4",2022-02-25,"u",08:38:30,0,27,0.5,35,84,0.06,0.001,"a",7,08:42:02,5,2,201,765,201,765,0.737,0,31.8,34.29,34.29,0.359,2.193,NA,0.42,0.691,14.5,NA,0.41,0.698,"Waning",0.366211667295294
"1253","ul4-1","2/25/22_ul4-1",2022-02-25,"u",08:44:05,0,27,0.5,35,85,0.06,0.001,"a",7,08:48:07,5,2,257,941,257,941,0.727,0,34.04,36.1,36.1,0.352,0.986,NA,3.84,0.009,34.5,NA,3.03,0.023,"Waning",0.366211667295294
"1254","ul4-2","2/25/22_ul4-2",2022-02-25,"u",08:48:40,0,27,0.5,35,86,0.06,0.001,"a",7,08:51:42,5,3,171,521,171,521,0.672,0,23.53,24.62,24.62,0.36,1.045,NA,1.77,0.151,22.5,NA,1.6,0.186,"Waning",0.366211667295294
"1255","ul4-3","2/25/22_ul4-3",2022-02-25,"u",08:53:16,0,27,0.5,35,87,0.06,0.001,"a",7,08:56:49,5,3,191,713,191,713,0.732,0,35.45,37.05,37.05,0.387,0.899,NA,4.31,0.008,39.4,NA,3.23,0.023,"Waning",0.366211667295294
"1256","ul4-4","2/25/22_ul4-4",2022-02-25,"u",08:58:10,0,27,0.5,35,88,0.06,0.001,"a",7,09:02:12,5,3,202,536,202,536,0.623,0,31.39,33.25,33.25,1.038,0.578,NA,9.18,0,54.3,NA,6.04,0.001,"Waning",0.366211667295294
"1257","ul5-1","2/25/22_ul5-1",2022-02-25,"u",09:03:03,0,30,0.5,35,89,0.06,0.001,"a",7,09:06:05,5,3,197,778,197,778,0.747,0,28.94,31.41,31.41,0.227,1.58,NA,0.66,0.545,18.3,NA,0.62,0.568,"Waning",0.366211667295294
"1258","ul5-2","2/25/22_ul5-2",2022-02-25,"u",09:07:54,0,30,0.5,35,90,0.06,0.001,"a",7,09:11:26,5,4,163,660,163,660,0.753,0,33.11,35.55,35.55,0.331,2.791,NA,0.21,0.845,11.9,NA,0.2,0.847,"Waning",0.366211667295294
"1259","ul5-3","2/25/22_ul5-3",2022-02-25,"u",09:12:43,0,30,0.5,35,91,0.06,0.001,"a",7,09:16:46,5,4,208,835,208,835,0.751,0,47.99,49.97,49.97,0.376,0.866,NA,8.1,0,55.4,NA,5.29,0.002,"Waning",0.366211667295294
"1260","ul6-1","2/25/22_ul6-1",2022-02-25,"u",09:22:28,0,30,0.5,35,93,0.06,0.001,"a",7,09:25:30,5,4,200,833,200,833,0.76,0,33.85,35.12,35.12,0.291,1.341,NA,2.33,0.08,25.2,NA,2.04,0.111,"Waning",0.366211667295294
"1261","ul6-2","2/25/22_ul6-2",2022-02-25,"u",09:27:09,0,30,0.5,35,94,0.06,0.001,"a",7,09:30:11,5,4,165,621,165,621,0.734,0,29.27,30.78,30.78,0.556,1.43,NA,1.37,0.242,20.5,NA,1.26,0.276,"Waning",0.366211667295294
"1262","ul6-3","2/25/22_ul6-3",2022-02-25,"u",09:33:19,0,30,0.5,35,95,0.06,0.001,"a",7,09:37:21,5,5,260,989,260,989,0.737,0,32.24,34,34,0.383,1.313,NA,1.95,0.1,24.6,NA,1.71,0.137,"Waning",0.366211667295294
"1263","ul6-4","2/25/22_ul6-4",2022-02-25,"u",09:37:47,0,30,0.5,35,96,0.06,0.001,"a",7,09:41:50,5,5,110,375,110,375,0.707,0,51.07,52.44,52.44,0.488,0.829,NA,16.45,0,61.6,NA,10.27,0,"Waning",0.366211667295294
"1264","ul1-1","2/25/22_ul1-1",2022-02-25,"u",09:42:19,0,20,0.5,35,73,0.06,0.001,"a",7,09:46:21,5,5,191,571,191,571,0.665,0,32.63,34.2,34.2,0.757,0.656,NA,6.79,0,49.7,NA,4.64,0.004,"Waning",0.366211667295294
"1265","ul1-2","2/25/22_ul1-2",2022-02-25,"u",09:47:04,0,20,0.5,35,74,0.06,0.001,"a",7,09:50:06,5,5,191,644,191,644,0.703,0,29.76,32,32,0.708,1.124,NA,1.74,0.157,26.5,NA,1.5,0.209,"Waning",0.366211667295294
"1266","ul1-3","2/25/22_ul1-3",2022-02-25,"u",09:51:32,0,20,0.5,35,75,0.06,0.001,"a",7,09:54:33,5,6,187,616,187,616,0.696,0,30.36,32.22,32.22,0.521,1.372,NA,1.49,0.211,22.1,NA,1.34,0.25,"Waning",0.366211667295294
"1267","ul1-4","2/25/22_ul1-4",2022-02-25,"u",09:56:02,0,20,0.5,35,76,0.06,0.001,"a",7,10:00:05,5,6,189,497,189,497,0.62,0,27.52,27.74,27.74,1.079,0.606,NA,9.47,0,45.4,NA,6.72,0.001,"Waning",0.366211667295294
"1268","ul3-2","2/25/22_ul3-2",2022-02-25,"u",10:09:52,0,27,0.5,35,82,0.06,0.001,"a",7,10:13:54,5,6,153,388,153,388,0.606,0,39.9,42.75,42.75,0.416,0.865,NA,10.34,0,46.1,NA,7.29,0,"Waning",0.366211667295294
"1269","ul5-4","2/25/22_ul5-4",2022-02-25,"u",10:14:45,0,30,0.5,35,92,0.06,0.001,"a",7,10:18:17,5,6,182,431,182,431,0.578,0,19.8,20.79,20.79,0.502,2.006,NA,0.08,0.937,9.9,NA,0.08,0.937,"Waning",0.366211667295294
"1270","ul4-1","3/1/22_ul4-1",2022-03-01,"u",08:05:18,0,27,0.5,35,85,0.06,0.001,"a",7,08:08:50,9,1,205,663,205,663,0.691,0,34.09,35.34,35.34,0.334,1.307,NA,2.3,0.07,26.1,NA,1.99,0.103,"New",0.0338206366540707
"1271","ul4-2","3/1/22_ul4-2",2022-03-01,"u",08:09:44,0,27,0.5,35,86,0.06,0.001,"a",7,08:12:46,9,1,190,477,190,477,0.602,0,23.21,24.25,24.25,0.375,0.956,NA,2.34,0.08,24.3,NA,2.06,0.108,"New",0.0338206366540707
"1272","ul4-3","3/1/22_ul4-3",2022-03-01,"u",08:14:38,0,27,0.5,35,87,0.06,0.001,"a",7,08:17:40,9,1,220,728,220,728,0.698,0,30.97,31.75,31.75,0.439,0.99,NA,3.43,0.026,31.3,NA,2.8,0.049,"New",0.0338206366540707
"1273","ul4-4","3/1/22_ul4-4",2022-03-01,"u",08:19:18,0,27,0.5,35,88,0.06,0.001,"a",7,08:23:20,9,1,165,510,165,510,0.676,0,36.75,38.95,38.95,0.36,0.9,NA,5.15,0.002,40.8,NA,3.81,0.009,"New",0.0338206366540707
"1274","ul5-1","3/1/22_ul5-1",2022-03-01,"u",08:24:02,0,30,0.5,35,89,0.06,0.001,"a",7,08:27:03,9,2,157,573,157,573,0.726,0,25.64,26.37,26.37,0.436,1.225,NA,2.22,0.09,20.9,NA,2.04,0.111,"New",0.0338206366540707
"1275","ul5-2","3/1/22_ul5-2",2022-03-01,"u",08:29:26,0,30,0.5,35,90,0.06,0.001,"a",7,08:32:28,9,2,183,694,183,694,0.736,0,29.78,31.41,31.41,0.307,1.719,NA,0.96,0.39,17.3,NA,0.91,0.412,"New",0.0338206366540707
"1276","ul5-3","3/1/22_ul5-3",2022-03-01,"u",08:34:20,0,30,0.5,35,91,0.06,0.001,"a",7,08:38:23,9,2,240,815,240,815,0.706,0,30.93,32.49,32.49,0.468,0.988,NA,3.07,0.022,31.3,NA,2.51,0.046,"New",0.0338206366540707
"1277","ul5-4","3/1/22_ul5-4",2022-03-01,"u",08:39:09,0,30,0.5,35,92,0.06,0.001,"a",7,08:42:10,9,2,276,738,276,738,0.626,0,19.42,20.79,20.79,0.306,2.885,NA,0.01,0.996,6.7,NA,0.01,0.996,"New",0.0338206366540707
"1278","ul6-1","3/1/22_ul6-1",2022-03-01,"u",08:43:50,0,30,0.5,35,93,0.06,0.001,"a",7,08:46:21,9,3,186,681,186,681,0.727,0,22.58,23.85,23.85,0.271,3.769,NA,0,0.999,6,NA,0,0.999,"New",0.0338206366540707
"1279","ul6-2","3/1/22_ul6-2",2022-03-01,"u",08:48:06,0,30,0.5,35,94,0.06,0.001,"a",7,08:51:08,9,3,192,705,192,705,0.728,0,25.28,26.82,26.82,0.484,2.088,NA,0.21,0.841,12.1,NA,0.21,0.843,"New",0.0338206366540707
"1280","ul6-3","3/1/22_ul6-3",2022-03-01,"u",08:52:36,0,30,0.5,35,95,0.06,0.001,"a",7,08:56:39,9,3,173,630,173,630,0.725,0,30.93,32,32,0.313,1.213,NA,2.38,0.055,25.5,NA,2.07,0.083,"New",0.0338206366540707
"1281","ul6-4","3/1/22_ul6-4",2022-03-01,"u",08:57:01,0,30,0.5,35,96,0.06,0.001,"a",7,09:00:03,9,3,211,775,211,775,0.728,0,27.23,28.08,28.08,0.339,1.355,NA,1.8,0.145,20.1,NA,1.67,0.171,"New",0.0338206366540707
"1282","ul1-1","3/1/22_ul1-1",2022-03-01,"u",09:01:35,0,20,0.5,35,73,0.06,0.001,"a",7,09:05:38,9,4,204,550,204,550,0.629,0,34.12,34.77,34.77,0.763,0.639,NA,20.27,0,53.4,NA,13.45,0,"New",0.0338206366540707
"1283","ul1-2","3/1/22_ul1-2",2022-03-01,"u",09:06:15,0,20,0.5,35,74,0.06,0.001,"a",7,09:09:17,9,4,245,792,245,792,0.691,0,24.46,26.91,26.91,0.653,3.092,NA,0.01,0.99,7.9,NA,0.01,0.99,"New",0.0338206366540707
"1284","ul1-3","3/1/22_ul1-3",2022-03-01,"u",09:11:02,0,20,0.5,35,75,0.06,0.001,"a",7,09:13:33,9,4,250,693,250,693,0.639,0,19.66,21.24,21.24,0.435,3.119,NA,0,0.999,6.3,NA,0,0.999,"New",0.0338206366540707
"1285","ul1-4","3/1/22_ul1-4",2022-03-01,"u",09:15:47,0,20,0.5,35,76,0.06,0.001,"a",7,09:19:50,9,4,187,611,187,611,0.694,0,25.12,27,27,0.874,1.695,NA,0.68,0.526,14.8,NA,0.66,0.538,"New",0.0338206366540707
"1286","ul2-1","3/1/22_ul2-1",2022-03-01,"u",09:20:19,0,20,0.5,35,77,0.06,0.001,"a",7,09:23:21,9,5,205,665,205,665,0.692,0,24.83,26,26,0.462,1.189,NA,1.22,0.288,20.9,NA,1.12,0.325,"New",0.0338206366540707
"1287","ul2-2","3/1/22_ul2-2",2022-03-01,"u",09:25:02,0,20,0.5,35,78,0.06,0.001,"a",7,09:29:04,9,5,173,569,173,569,0.696,0,33.51,34.2,34.2,0.789,0.835,NA,5.03,0.002,40.1,NA,3.75,0.01,"New",0.0338206366540707
"1288","ul2-3","3/1/22_ul2-3",2022-03-01,"u",09:30:30,0,20,0.5,35,79,0.06,0.001,"a",7,09:33:32,9,5,240,799,240,799,0.7,0,23.95,25.92,25.92,0.576,2.803,NA,0.03,0.974,8.5,NA,0.03,0.974,"New",0.0338206366540707
"1289","ul2-4","3/1/22_ul2-4",2022-03-01,"u",09:35:01,0,20,0.5,35,80,0.06,0.001,"a",7,09:38:33,9,5,191,521,191,521,0.633,0,21.93,22.99,22.99,0.439,0.894,NA,1.92,0.113,24.5,NA,1.69,0.152,"New",0.0338206366540707
"1290","ul3-1","3/1/22_ul3-1",2022-03-01,"u",09:39:31,0,27,0.5,35,81,0.06,0.001,"a",7,09:43:03,9,6,190,685,190,685,0.723,0,33.4,35.15,35.15,0.454,1.152,NA,2.64,0.046,29,NA,2.21,0.078,"New",0.0338206366540707
"1291","ul3-2","3/1/22_ul3-2",2022-03-01,"u",09:44:18,0,27,0.5,35,82,0.06,0.001,"a",7,09:48:21,9,6,186,649,186,649,0.713,0,36.66,38.95,38.95,0.369,0.913,NA,4.7,0.003,40.2,NA,3.5,0.013,"New",0.0338206366540707
"1292","ul3-3","3/1/22_ul3-3",2022-03-01,"u",09:48:54,0,27,0.5,35,83,0.06,0.001,"a",7,09:51:56,9,6,159,480,159,480,0.669,0,23.38,24.5,24.5,0.42,1.116,NA,1.97,0.12,20.9,NA,1.8,0.146,"New",0.0338206366540707
"1293","ul3-4","3/1/22_ul3-4",2022-03-01,"u",09:53:34,0,27,0.5,35,84,0.06,0.001,"a",7,09:57:36,9,6,190,680,190,680,0.721,0,35.56,37,37,0.396,1.134,NA,3.24,0.018,31.3,NA,2.65,0.038,"New",0.0338206366540707
"1294","hm1-1","4/21/22_hm1-1",2022-04-21,"h",08:08:29,2.5,20,53,28,49,6.4,0.41,"d",8,08:12:31,1,1,84,192,84,192,0.562,0,58.49,63.96,56.7,0.846,0.864,NA,16.02,0,67.7,NA,9.61,0,"Waning",0.782329523506194
"1295","hm1-2","4/21/22_hm1-2",2022-04-21,"h",08:12:54,2.5,20,53,28,50,6.4,0.41,"d",8,08:16:56,1,1,93,271,93,271,0.657,0,66.93,74.38,74.38,1.683,0.876,NA,31.39,0,76.4,NA,17.89,0,"Waning",0.782329523506194
"1296","hm1-3","4/21/22_hm1-3",2022-04-21,"h",08:17:56,2.5,20,53,28,51,6.4,0.41,"d",8,08:21:58,1,1,56,168,56,168,0.667,0,79.44,100.86,100.86,1.074,0.856,NA,20.39,0,92.8,NA,10.71,0,"Waning",0.782329523506194
"1297","hm1-4","4/21/22_hm1-4",2022-04-21,"h",08:22:26,2.5,20,53,28,52,6.4,0.41,"d",8,08:26:29,1,1,87,232,87,232,0.625,0,67.17,65.55,65.55,0.856,0.754,NA,21.45,0,89,NA,11.47,0,"Waning",0.782329523506194
"1298","hul1-1","4/21/22_hul1-1",2022-04-21,"h",08:27:04,2.5,20,53,28,53,6.4,0.41,"d",8,08:31:06,1,1,84,209,84,209,0.598,1.135,62.57,72.16,61.74,0.802,0.704,NA,28.69,0,88.9,NA,15.35,0,"Waning",0.782329523506194
"1299","hul1-2","4/21/22_hul1-2",2022-04-21,"h",08:31:39,2.5,20,53,28,54,6.4,0.41,"d",8,08:35:41,1,1,70,244,70,244,0.713,1.089,53.27,54.94,51.66,1,0.775,NA,34.09,0,68.7,NA,20.31,0,"Waning",0.782329523506194
"1300","hul1-3","4/21/22_hul1-3",2022-04-21,"h",08:36:03,2.5,20,53,28,55,6.4,0.41,"d",8,08:40:05,1,1,80,248,80,248,0.677,0.697,75.09,75.44,73.12,1.067,0.69,NA,42.82,0,108.8,NA,21.09,0,"Waning",0.782329523506194
"1301","hul1-4","4/21/22_hul1-4",2022-04-21,"h",08:40:56,2.5,20,53,28,56,6.4,0.41,"d",8,08:44:58,1,1,96,266,96,266,0.639,0.767,45.74,45.78,45.78,1.078,0.775,NA,10.94,0,59,NA,6.95,0,"Waning",0.782329523506194
"1302","hm2-1","4/21/22_hm2-1",2022-04-21,"h",08:45:45,2.5,20,53,28,57,6.4,0.41,"d",8,08:49:48,1,2,89,284,89,284,0.687,0,69.6,80.36,61.74,1.088,0.56,NA,20.92,0,124.3,NA,9.78,0,"Waning",0.782329523506194
"1303","hm2-2","4/21/22_hm2-2",2022-04-21,"h",08:50:34,2.5,20,53,28,58,6.4,0.41,"d",8,08:54:36,1,2,88,205,88,205,0.571,0,44.68,59.04,45.78,0.864,0.558,NA,18.37,0,80,NA,10.27,0,"Waning",0.782329523506194
"1304","hm2-3","4/21/22_hm2-3",2022-04-21,"h",08:55:24,2.5,20,53,28,59,6.4,0.41,"d",8,08:59:26,1,2,70,188,70,188,0.628,0,49.88,63.96,53.34,0.843,0.589,NA,19.33,0,84.7,NA,10.55,0,"Waning",0.782329523506194
"1305","hm2-4","4/21/22_hm2-4",2022-04-21,"h",09:00:01,2.5,20,53,28,60,6.4,0.41,"d",8,09:04:04,1,2,94,241,94,241,0.61,0,37.41,66.42,37.43,0.928,0.987,NA,6.49,0.001,37.9,NA,4.94,0.003,"Waning",0.782329523506194
