#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Up,Button Down,Host Connected,End of File
1243,08/03/2024 00:00:00,25.984,,,
1130,08/11/2024 08:50:00,24.912,,,,
1131,08/11/2024 09:00:00,24.965,,,,
1132,08/11/2024 09:10:00,24.997,,,,
1133,08/11/2024 09:20:00,25.030,,,,
1134,08/11/2024 09:30:00,25.083,,,,
1135,08/11/2024 09:40:00,25.158,,,,
1136,08/11/2024 09:50:00,25.201,,,,
1137,08/11/2024 10:00:00,25.244,,,,
1138,08/11/2024 10:10:00,25.319,,,,
1139,08/11/2024 10:20:00,25.405,,,,
1140,08/11/2024 10:30:00,25.598,,,,
1141,08/11/2024 10:40:00,25.673,,,,
1142,08/11/2024 10:50:00,25.780,,,,
1143,08/11/2024 11:00:00,25.802,,,,
1144,08/11/2024 11:10:00,25.802,,,,
1145,08/11/2024 11:20:00,25.973,,,,
1146,08/11/2024 11:30:00,25.963,,,,
1147,08/11/2024 11:40:00,26.070,,,,
1148,08/11/2024 11:50:00,26.370,,,,
1149,08/11/2024 12:00:00,26.531,,,,
1150,08/11/2024 12:10:00,26.531,,,,
1151,08/11/2024 12:20:00,26.617,,,,
1152,08/11/2024 12:30:00,26.810,,,,
1153,08/11/2024 12:40:00,26.756,,,,
1154,08/11/2024 12:50:00,26.799,,,,
1155,08/11/2024 13:00:00,26.906,,,,
1156,08/11/2024 13:10:00,27.014,,,,
1157,08/11/2024 13:20:00,27.014,,,,
1158,08/11/2024 13:30:00,27.046,,,,
1159,08/11/2024 13:40:00,27.100,,,,
1160,08/11/2024 13:50:00,27.132,,,,
1161,08/11/2024 14:00:00,27.153,,,,
1162,08/11/2024 14:10:00,27.142,,,,
1163,08/11/2024 14:20:00,27.142,,,,
1164,08/11/2024 14:30:00,27.153,,,,
1165,08/11/2024 14:40:00,27.164,,,,
1166,08/11/2024 14:50:00,27.303,,,,
1167,08/11/2024 15:00:00,27.389,,,,
1168,08/11/2024 15:10:00,27.357,,,,
1169,08/11/2024 15:20:00,27.561,,,,
1170,08/11/2024 15:30:00,27.529,,,,
1171,08/11/2024 15:40:00,27.346,,,,
1172,08/11/2024 15:50:00,27.346,,,,
1173,08/11/2024 16:00:00,27.518,,,,
1174,08/11/2024 16:10:00,27.518,,,,
1175,08/11/2024 16:20:00,27.464,,,,
1176,08/11/2024 16:30:00,27.614,,,,
1177,08/11/2024 16:40:00,27.518,,,,
1178,08/11/2024 16:50:00,27.593,,,,
1179,08/11/2024 17:00:00,27.582,,,,
1180,08/11/2024 17:10:00,27.518,,,,
1181,08/11/2024 17:20:00,27.507,,,,
1182,08/11/2024 17:30:00,27.389,,,,
1183,08/11/2024 17:40:00,27.400,,,,
1184,08/11/2024 17:50:00,27.378,,,,
1185,08/11/2024 18:00:00,27.336,,,,
1186,08/11/2024 18:10:00,27.260,,,,
1187,08/11/2024 18:20:00,27.218,,,,
1188,08/11/2024 18:30:00,27.175,,,,
1189,08/11/2024 18:40:00,27.142,,,,
1190,08/11/2024 18:50:00,27.078,,,,
1191,08/11/2024 19:00:00,27.035,,,,
1192,08/11/2024 19:10:00,26.960,,,,
1193,08/11/2024 19:20:00,26.896,,,,
1194,08/11/2024 19:30:00,26.842,,,,
1195,08/11/2024 19:40:00,26.756,,,,
1196,08/11/2024 19:50:00,26.692,,,,
1197,08/11/2024 20:00:00,26.617,,,,
1198,08/11/2024 20:10:00,26.553,,,,
1199,08/11/2024 20:20:00,26.467,,,,
1200,08/11/2024 20:30:00,26.413,,,,
1201,08/11/2024 20:40:00,26.338,,,,
1202,08/11/2024 20:50:00,26.284,,,,
1203,08/11/2024 21:00:00,26.231,,,,
1204,08/11/2024 21:10:00,26.188,,,,
1205,08/11/2024 21:20:00,26.145,,,,
1206,08/11/2024 21:30:00,26.091,,,,
1207,08/11/2024 21:40:00,26.038,,,,
1208,08/11/2024 21:50:00,25.984,,,,
1209,08/11/2024 22:00:00,25.963,,,,
1210,08/11/2024 22:10:00,25.909,,,,
1211,08/11/2024 22:20:00,25.866,,,,
1212,08/11/2024 22:30:00,25.823,,,,
1213,08/11/2024 22:40:00,25.791,,,,
1214,08/11/2024 22:50:00,25.759,,,,
1215,08/11/2024 23:00:00,25.716,,,,
1216,08/11/2024 23:10:00,25.695,,,,
1217,08/11/2024 23:20:00,25.662,,,,
1218,08/11/2024 23:30:00,25.630,,,,
1219,08/11/2024 23:40:00,25.609,,,,
1220,08/11/2024 23:50:00,25.577,,,,
